molecule_chembl_id,units,Ki,smiles,pKi
CHEMBL175949,nM,5.15,CC(=O)N(CCCCSc1c2c(nc3ccccc13)CCCC2)CCCNc1c2c(nc3ccccc13)CCCC2,8.288192770958808
CHEMBL175555,nM,3.99,CN(CCCCSc1c2c(nc3ccccc13)CCCC2)CCCNc1c2c(nc3ccccc13)CCCC2,8.399027104313252
CHEMBL179192,nM,13.37,CC(=O)N(CCCNc1c2c(nc3ccccc13)CCCC2)CCCSc1c2c(nc3ccccc13)CCCC2,7.873868592738016
CHEMBL338755,nM,0.54,CN(CCCNc1c2c(nc3ccccc13)CCCC2)CCCNc1c2c(nc3ccccc13)CCCC2,9.267606240177031
CHEMBL507174,nM,0.0847,C=CCN(CCCCNc1c2c(nc3ccccc13)CCCC2)CCCNc1c2c(nc3ccccc13)CCCC2,10.072116589669292
CHEMBL374184,nM,109.0,CCOC(=O)C1=C(C)Nc2nc3c(c(N)c2C1c1ccc(OC)cc1)CCCC3,6.962573502059376
CHEMBL3215768,nM,1.91,Cl.Cl.Cl.Cl.O=C(NCCCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2)c1ccc2nc(-c3ccc(Cl)cc3)c3c(c2c1)OCCC3,8.718966632752272
CHEMBL309490,nM,85600.0,O=c1c(O)c(-c2ccccc2)oc2cc(O)cc(O)c12,4.0675262353228465
CHEMBL28,nM,121600.0,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,3.9150664250632836
CHEMBL150,nM,92800.0,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,4.032452023781138
CHEMBL50,nM,38300.0,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,4.416801226031377
CHEMBL164,nM,37800.0,O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,4.422508200162775
CHEMBL31574,nM,100200.0,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)ccc12,3.999132278468773
CHEMBL151,nM,65800.0,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,4.181774106386045
CHEMBL590031,nM,24000.0,CO[P@@]1(=O)CC[C@H]2COC(=O)C2=C(C)O1,4.619788758288394
CHEMBL592433,nM,140000.0,CO[P@]1(=O)CC[C@H]2COC(=O)C2=C(C)O1,3.853871964321762
CHEMBL592624,nM,76000.0,COC(=O)C1=C(C)OP(=O)(OC)CCC1,4.119186407719209
CHEMBL592857,nM,310000.0,COC(=O)C1=C(C)OP(=O)(OC)CC1,3.508638306165727
CHEMBL1025,nM,6000.0,CC(C)OP(=O)(F)OC(C)C,5.221848749616356
CHEMBL599644,nM,61.1,CN(Cc1ccccc1)Cc1ccc(/C=C2\CCc3cc(OCCCCCN4CCCCC4)ccc3C2=O)cc1,7.213958789757446
CHEMBL590298,nM,89300.0,NC(=O)N1c2ccccc2Sc2ccccc21,4.049148541111453
CHEMBL606338,nM,9360.0,CNC(=O)N1c2ccccc2Sc2ccccc21,5.028724151261895
CHEMBL600230,nM,1450000.0,CCNC(=O)N1c2ccccc2Sc2ccccc21,2.8386319977650247
CHEMBL592185,nM,691000.0,CC(C)NC(=O)N1c2ccccc2Sc2ccccc21,3.1605219526258015
CHEMBL592674,nM,400000.0,CN(C)C(=O)N1c2ccccc2Sc2ccccc21,3.3979400086720375
CHEMBL601282,nM,16300.0,CCN(CC)CCNC(=O)N1c2ccccc2Sc2ccccc21.Cl,4.787812395596042
CHEMBL605824,nM,810.0,CC(C)N(CCNC(=O)N1c2ccccc2Sc2ccccc21)C(C)C,6.09151498112135
CHEMBL589536,nM,29400.0,O=C(NCCN1CCCC1)N1c2ccccc2Sc2ccccc21,4.531652669587842
CHEMBL589563,nM,620.0,O=C(NCCN1CCCCC1)N1c2ccccc2Sc2ccccc21,6.207608310501746
CHEMBL430886,nM,20.0,[Br-].[Br-].c1cc[n+](CCCCCCCCCCC[n+]2ccccc2)cc1,7.698970004336019
CHEMBL1081810,nM,140.0,[Br-].[Br-].c1cc[n+](Cc2ccc3ccc(C[n+]4ccccc4)cc3c2)cc1,6.853871964321762
CHEMBL1087194,nM,24.0,CCOC(=O)c1cc2c(N)c3c(nc2nc1C)CCCC3,7.619788758288394
CHEMBL659,nM,300.0,COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2,6.522878745280337
CHEMBL558873,nM,860.0,CC(C)(C)[Si](C)(C)O[C@H]1C=C2CCN3Cc4cc5c(cc4[C@H]([C@@H]1O)[C@@H]23)OCO5,6.065501548756432
CHEMBL564408,nM,340.0,CC(=O)O[C@H]1[C@H]2c3cc4c(cc3CN3CCC(=C[C@@H]1O[Si](C)(C)C(C)(C)C)[C@H]23)OCO4,6.468521082957745
